City,Country,Longitude,Latitude
"Simi Valley, CA",USA,-118.79,34.27
Singapore,Singapore,103.84,1.28
"Sioux Falls, SD",USA,-96.7,43.55
Sofia,Bulgaria,23.33,42.71
"South Bend, IN",USA,-86.25,41.68
"Spokane, WA",USA,-117.42,47.65
"Springfield, IL",USA,-89.64,39.8
"Springfield, MA",USA,-72.59,42.1
"Springfield, MO",USA,-93.29,37.21
Sri Jayawardenepura,Sri Lanka,79.91,6.89
"St. Catharines, ON",Canada,-79.14,43.11
"St. John's, NF",Canada,-52.42,47.04
St. Petersburg,Russia,30.29,59.93
"St. Petersburg, FL",USA,-82.67,27.77
Stockholm,Sweden,18.03,59.29
"Stockton, CA",USA,-121.28,37.95
Strasbourg,France,7.77,48.58
Stuttgart,Germany,9.18,48.78
Sucre,Bolivia,-65.26,-19.04
"Sunnyvale, CA",USA,-122.02,37.37
Suva,Fiji Islands,178.46,-18.13
"Sydney, NSW",Australia,151.12,-33.96
"Syracuse, NY",USA,-76.14,43.04
Taejon,Korea,127.43,36.33
Taipei,Taiwan,121.5,25.03
Tallinn,Estonia,24.75,59.42
"Tampa, FL",USA,-82.45,27.94
Taranto,Italy,17.21,40.5
Tegucigalpa,Honduras,-87.21,14.09
Tehran,Iran,51.41,35.68
Tel Aviv,Israel,34.76,32.07
The Hague,Netherlands,4.32,52.09
Thimphu,Bhutan,89.67,27.45
"Thunder Bay, ON",Canada,-89.12,48.27
Tirana,Albania,19.83,41.33
Tokyo,Japan,139.76,35.67
"Toledo, OH",USA,-83.55,41.66
Torino,Italy,7.68,45.07
"Toronto, ON",Canada,-79.4,43.66
"Torrance, CA",USA,-118.33,33.83
Toulouse,France,1.43,43.6
Tripoli,Libya,13.2,32.89
"Tucson, AZ",USA,-110.92,32.22
"Tulsa, OK",USA,-95.99,36.15
Tunis,Tunisia,10.18,36.81
Ulaanbaatar,Mongolia,106.91,47.93
Urumqi,China,87.59,43.79
Vaduz,Liechtenstein,9.54,47.13
Valencia,Spain,-0.36,39.47
Valletta,Malta,14.52,35.9
"Vancouver, BC",Canada,-123.04,49.15
Venice,Italy,12.32,45.44
Veracruz,Mexico,-96.13,19.19
Vienna,Austria,16.22,48.13
Vientiane,Laos,102.63,17.94
Vilnius,Lithuania,25.31,54.68
Vladivostok,Russia,131.9,43.13
Volgograd,Russia,44.42,48.75
"Waco, TX",USA,-97.08,31.33
Warsaw,Poland,21.02,52.24
"Washington, DC",USA,-77.04,38.89
Wellington,New Zealand,174.77,-41.26
"Whitehorse, YT",Canada,-135.04,60.43
Windhoek,Namibia,17.08,-22.56
"Winnipeg, MB",Canada,-97.07,49.54
Wuhan,China,114.28,30.55
Xian,China,108.88,34.27
Yakutsk,Russia,129.72,62.03
Yekaterinburg,Russia,60.61,56.85
"Yellowknife, NT",Canada,-114.25,62.28
Yerevan,Armenia,44.54,40.21
Yokohama,Japan,139.63,35.45
Zagreb,Croatia,15.96,45.81
Zaragoza,Spain,-0.89,41.65
Zurich,Switzerland,8.32,47.22
